CONV_VALCH1 (N),CONV_VALCH2 (N),CONV_VALCH3 (N),TIMESTAMP (us)
-4.5300,-5.7495,-6.6660,8780000,
-4.5932,-5.7523,-6.6147,8785000,
-4.5914,-5.7642,-6.5588,8790000,
-4.6326,-5.7706,-6.4893,8795000,
-4.6161,-5.7925,-6.4188,8800000,
-4.9915,-5.7953,-6.3345,8805000,
-4.6490,-5.8090,-6.2439,8810000,
-4.6399,-5.7944,-6.1670,8815000,
-4.6399,-5.8255,-6.1304,8820000,
-4.5969,-5.8136,-6.0507,8825000,
-4.5859,-5.8292,-6.0233,8830000,
-4.6170,-5.8072,-5.9875,8835000,
-4.5502,-5.8328,-5.9134,8840000,
-4.5767,-5.8136,-5.8813,8845000,
-4.5996,-5.7843,-5.7541,8850000,
-4.9146,-5.7660,-5.6516,8855000,
-4.5566,-5.7669,-5.5801,8860000,
-4.5392,-5.7477,-5.5426,8865000,
-4.5236,-5.7523,-5.5151,8870000,
-4.5200,-5.7376,-5.4941,8875000,
-4.5319,-5.7449,-5.4410,8880000,
-4.5126,-5.7120,-5.4272,8885000,
-4.4485,-5.7193,-5.3888,8890000,
-4.4339,-5.7220,-5.3549,8895000,
-4.4202,-5.7385,-5.3165,8900000,
-4.7479,-5.7779,-5.2716,8905000,
-4.4083,-5.7825,-5.2423,8910000,
-4.4101,-5.7971,-5.1920,8915000,
-4.3973,-5.8237,-5.1324,8920000,
-4.4101,-5.8694,-5.0720,8925000,
-4.3469,-5.8932,-5.0098,8930000,
-4.2719,-5.8237,-4.9814,8935000,
-4.3149,-5.8475,-4.8367,8940000,
-4.2178,-5.8685,-4.8404,8945000,
-4.2755,-5.8310,-4.8065,8950000,
-4.5447,-5.8173,-4.7461,8955000,
-4.2728,-5.7898,-4.7690,8960000,
-4.3588,-5.7184,-4.8523,8965000,
-4.1483,-5.7678,-4.7076,8970000,
-4.1611,-5.7660,-4.6179,8975000,
-4.1629,-5.8118,-4.6326,8980000,
-4.0933,-5.8154,-4.6014,8985000,
-4.0622,-5.8557,-4.5648,8990000,
-4.0924,-5.8310,-4.4742,8995000,
-4.1391,-5.8658,-4.4046,9000000,
-4.3167,-5.8813,-4.2755,9005000,
-4.1537,-5.8429,-4.1995,9010000,
-4.0356,-5.8740,-4.0421,9015000,
-4.0677,-5.8804,-4.0723,9020000,
-4.0851,-5.8484,-3.9963,9025000,
-4.1217,-5.8713,-3.9999,9030000,
-4.1016,-5.8585,-3.9716,9035000,
-4.0778,-5.8640,-3.9423,9040000,
-4.0952,-5.8951,-3.8498,9045000,
-4.0723,-5.8951,-3.7701,9050000,
-4.3671,-5.8987,-3.7152,9055000,
-3.9349,-5.9637,-3.6740,9060000,
-3.8992,-5.9894,-3.6401,9065000,
-3.9102,-5.9610,-3.6145,9070000,
-3.9001,-6.0132,-3.5532,9075000,
-3.8123,-6.0260,-3.5294,9080000,
-3.8022,-6.0178,-3.5413,9085000,
-3.7857,-6.0828,-3.5037,9090000,
-3.8297,-6.0846,-3.5770,9095000,
-3.7775,-6.0873,-3.5312,9100000,
-4.0585,-6.0617,-3.4872,9105000,
-3.7994,-6.0663,-3.4671,9110000,
-3.7830,-6.0928,-3.4415,9115000,
-3.7555,-6.0370,-3.3829,9120000,
-3.7390,-6.0608,-3.3710,9125000,
-3.7463,-6.0471,-3.3243,9130000,
-3.7198,-6.0443,-3.3289,9135000,
-3.7463,-6.0544,-3.3298,9140000,
-3.7408,-6.0287,-3.2492,9145000,
-3.7656,-6.0205,-3.2794,9150000,
-3.9981,-6.0205,-3.2135,9155000,
-3.7399,-6.0269,-3.1403,9160000,
-3.7125,-5.9885,-3.0542,9165000,
-3.6786,-6.0361,-3.0222,9170000,
-3.6447,-6.0306,-3.0057,9175000,
-3.6768,-6.0178,-2.9041,9180000,
-3.6328,-5.9390,-2.7008,9185000,
-3.6374,-5.9729,-2.6019,9190000,
-3.5907,-5.9811,-2.4655,9195000,
-3.5962,-5.9601,-2.4335,9200000,
-3.8068,-5.9372,-2.3227,9205000,
-3.6264,-5.9711,-2.2879,9210000,
-3.5641,-5.9995,-2.2330,9215000,
-3.5651,-5.9976,-2.1176,9220000,
-3.5779,-6.0068,-2.1130,9225000,
-3.5358,-6.0196,-2.0215,9230000,
-3.5669,-6.0315,-1.9272,9235000,
-3.5916,-5.9912,-1.8539,9240000,
-3.5962,-6.0223,-1.8182,9245000,
-3.5449,-5.9839,-1.7477,9250000,
-3.7875,-6.0040,-1.7166,9255000,
-3.5092,-6.0059,-1.5820,9260000,
-3.4781,-6.0031,-1.4575,9265000,
-3.4570,-5.9949,-1.1591,9270000,
-3.4241,-5.9464,-1.0638,9275000,
-3.3792,-5.9354,-0.9915,9280000,
-3.3096,-5.9244,-0.9549,9285000,
-3.2346,-5.8942,-0.8588,9290000,
-3.0835,-5.8914,-0.7910,9295000,
-2.9224,-5.8575,-0.4916,9300000,
-3.3563,-5.8347,-0.4340,9305000,
-2.8510,-5.8282,-0.3928,9310000,
-2.7878,-5.8337,-0.1859,9315000,
-2.8812,-5.8310,-0.1904,9320000,
-2.9105,-5.8145,-0.4761,9325000,
-3.0954,-5.7953,-0.5951,9330000,
-3.1952,-5.7834,-0.6180,9335000,
-3.2162,-5.7962,-0.2737,9340000,
-3.2492,-5.7935,-0.6097,9345000,
-3.2712,-5.7770,-0.3470,9350000,
-3.5971,-5.7596,-0.5576,9355000,
-3.3279,-5.7321,-0.1071,9360000,
-3.3737,-5.7303,-0.3671,9365000,
-3.3755,-5.7321,-0.0275,9370000,
-3.3710,-5.7513,-0.0916,9375000,
-3.3618,-5.7724,-0.0815,9380000,
-3.2584,-5.7733,-0.0403,9385000,
-3.1906,-5.7953,-0.0366,9390000,
-2.9288,-5.7916,0.0119,9395000,
-2.8464,-5.8163,0.0137,9400000,
-3.1805,-5.8383,-0.0073,9405000,
-2.6834,-5.8255,0.1749,9410000,
-2.6852,-5.8530,0.1355,9415000,
-2.6074,-5.8713,-0.0238,9420000,
-2.6166,-5.8347,-0.6290,9425000,
-2.6468,-5.8145,-0.7809,9430000,
-2.6999,-5.7458,-0.9265,9435000,
-2.7182,-5.6827,-1.0336,9440000,
-2.6944,-5.6406,-1.5363,9445000,
-2.7246,-5.6332,-1.7789,9450000,
-3.2739,-5.5756,-1.9382,9455000,
-2.7640,-5.6277,-2.1515,9460000,
-2.7869,-5.6277,-2.2568,9465000,
-2.9013,-5.6094,-2.4326,9470000,
-2.9077,-5.6754,-2.6715,9475000,
-2.9745,-5.6955,-3.0057,9480000,
-3.1027,-5.6918,-3.2886,9485000,
-3.1750,-5.6854,-3.4955,9490000,
-3.1796,-5.6607,-3.6465,9495000,
-3.2162,-5.6589,-3.7473,9500000,
-3.5037,-5.6653,-3.9880,9505000,
-3.1512,-5.6680,-4.0375,9510000,
-3.2153,-5.6305,-4.2096,9515000,
-3.1915,-5.5994,-4.5740,9520000,
-3.2126,-5.5884,-4.7122,9525000,
-3.2932,-5.5728,-4.9503,9530000,
-3.3636,-5.5453,-5.1178,9535000,
-3.4827,-5.5225,-5.2451,9540000,
-3.6145,-5.5252,-5.3339,9545000,
-3.7244,-5.5627,-5.3622,9550000,
-4.0256,-5.5984,-5.3842,9555000,
-3.8333,-5.6049,-5.3238,9560000,
-3.8361,-5.6442,-5.3375,9565000,
-3.7958,-5.6268,-5.2405,9570000,
-3.7656,-5.6241,-5.3137,9575000,
-3.7381,-5.6076,-5.2689,9580000,
-3.6914,-5.6058,-5.3064,9585000,
-3.6557,-5.6158,-5.2432,9590000,
-3.6905,-5.6360,-5.3073,9595000,
-3.7244,-5.6781,-5.2817,9600000,
-3.9294,-5.7889,-5.2652,9605000,
-3.7262,-5.7935,-5.2972,9610000,
-3.7473,-5.8347,-5.3073,9615000,
-3.7582,-5.8127,-5.3302,9620000,
-3.8177,-5.8008,-5.2945,9625000,
-3.8525,-5.7541,-5.2863,9630000,
-3.9093,-5.7605,-5.2789,9635000,
-3.9075,-5.7074,-5.2771,9640000,
-3.9294,-5.6982,-5.2441,9645000,
-3.8809,-5.6534,-5.2588,9650000,
-4.0915,-5.6516,-5.2332,9655000,
-3.9001,-5.6671,-5.1947,9660000,
-3.8342,-5.6717,-5.2203,9665000,
-3.7949,-5.7266,-5.1984,9670000,
-3.7619,-5.6992,-5.2505,9675000,
-3.7793,-5.7220,-5.2130,9680000,
-3.7665,-5.7111,-5.2551,9685000,
-3.7473,-5.6900,-5.2478,9690000,
-3.7592,-5.7047,-5.2588,9695000,
-3.8113,-5.6946,-5.2853,9700000,
-4.0814,-5.6589,-5.3320,9705000,
-3.8370,-5.7019,-5.3046,9710000,
-3.8379,-5.7028,-5.3128,9715000,
-3.7939,-5.7431,-5.3101,9720000,
-3.8223,-5.7751,-5.3036,9725000,
-3.7793,-5.8127,-5.2982,9730000,
-3.7885,-5.8063,-5.2917,9735000,
-3.7555,-5.8273,-5.2753,9740000,
-3.7280,-5.8118,-5.2734,9745000,
-3.7262,-5.8365,-5.2744,9750000,
-3.9972,-5.8099,-5.2908,9755000,
-3.7582,-5.7898,-5.2826,9760000,
-3.7253,-5.7605,-5.2963,9765000,
-3.8031,-5.7797,-5.3046,9770000,
-3.7546,-5.7587,-5.2954,9775000,
-3.8031,-5.7632,-5.2863,9780000,
-3.8635,-5.7422,-5.2963,9785000,
-3.8846,-5.7458,-5.2881,9790000,
-3.8690,-5.7578,-5.2725,9795000,
-3.8306,-5.7431,-5.2524,9800000,
-4.0677,-5.7147,-5.2441,9805000,
-3.7949,-5.6992,-5.2332,9810000,
-3.7619,-5.6946,-5.2267,9815000,
-3.7683,-5.6836,-5.2359,9820000,
-3.7637,-5.6589,-5.2414,9825000,
-3.7445,-5.6415,-5.2487,9830000,
-3.7454,-5.6680,-5.2551,9835000,
-3.7537,-5.6561,-5.2707,9840000,
-3.8159,-5.6927,-5.2817,9845000,
-3.8187,-5.7166,-5.2982,9850000,
-4.0906,-5.7156,-5.2936,9855000,
-3.8086,-5.7468,-5.2908,9860000,
-3.8297,-5.7477,-5.3027,9865000,
-3.7985,-5.7697,-5.2808,9870000,
-3.8196,-5.7495,-5.3201,9875000,
-3.7903,-5.7440,-5.2872,9880000,
-3.7115,-5.7770,-5.2716,9885000,
-3.7866,-5.7422,-5.2963,9890000,
-3.7326,-5.7861,-5.2817,9895000,
-3.7170,-5.7971,-5.2780,9900000,
-4.0292,-5.7770,-5.2936,9905000,
-3.7537,-5.8109,-5.2744,9910000,
-3.8004,-5.8081,-5.3009,9915000,
-3.8425,-5.8182,-5.3000,9920000,
-3.8086,-5.8145,-5.3018,9925000,
-3.8434,-5.7605,-5.3018,9930000,
-3.8452,-5.7715,-5.2753,9935000,
-3.8480,-5.7376,-5.2707,9940000,
-3.8306,-5.7275,-5.2524,9945000,
-3.8177,-5.7111,-5.2322,9950000,
-4.0137,-5.7065,-5.2432,9955000,
-3.7811,-5.6854,-5.2597,9960000,
-3.7848,-5.6772,-5.2698,9965000,
-3.8159,-5.6946,-5.2441,9970000,
-3.8251,-5.6680,-5.2762,9975000,
-3.7793,-5.6982,-5.2515,9980000,
-3.8123,-5.6900,-5.2496,9985000,
-3.7848,-5.6836,-5.2570,9990000,
-3.7958,-5.7010,-5.2524,9995000,
-3.7381,-5.7083,-5.2588,10000000,
-4.0366,-5.6863,-5.2634,10005000,
-3.8004,-5.7120,-5.2615,10010000,
-3.8187,-5.6982,-5.2872,10015000,
-3.7921,-5.7285,-5.3000,10020000,
-3.8315,-5.7458,-5.2835,10025000,
-3.7582,-5.7852,-5.3027,10030000,
-3.7903,-5.7898,-5.2945,10035000,
-3.7894,-5.8026,-5.2826,10040000,
-3.7683,-5.7944,-5.2789,10045000,
-3.8004,-5.8044,-5.2698,10050000,
-4.0100,-5.8099,-5.2844,10055000,
-3.7674,-5.8017,-5.2808,10060000,
-3.8058,-5.7944,-5.2863,10065000,
-3.8150,-5.7861,-5.2872,10070000,
-3.7912,-5.7843,-5.2936,10075000,
-3.7949,-5.7697,-5.2972,10080000,
-3.8196,-5.7504,-5.3091,10085000,
-3.8205,-5.7468,-5.2780,10090000,
-3.7912,-5.7294,-5.2716,10095000,
-3.7701,-5.7486,-5.2625,10100000,
-4.0274,-5.7211,-5.2469,10105000,
-3.8095,-5.7074,-5.2350,10110000,
-3.7921,-5.6937,-5.2286,10115000,
-3.7683,-5.6680,-5.2350,10120000,
-3.7628,-5.6790,-5.2515,10125000,
-3.8342,-5.6543,-5.2808,10130000,
-3.7527,-5.6607,-5.2762,10135000,
-3.7729,-5.6744,-5.2798,10140000,
-3.8205,-5.6909,-5.2753,10145000,
-3.8525,-5.6808,-5.2972,10150000,
-4.0292,-5.7065,-5.2707,10155000,
-3.7912,-5.7220,-5.2606,10160000,
-3.7976,-5.7056,-5.2560,10165000,
-3.7921,-5.7623,-5.2661,10170000,
-3.8214,-5.7678,-5.2753,10175000,
-3.8040,-5.7697,-5.2780,10180000,
-3.8260,-5.7898,-5.2780,10185000,
-3.8214,-5.7816,-5.2661,10190000,
-3.8306,-5.7797,-5.2661,10195000,
-3.7701,-5.7944,-5.2661,10200000,
-4.0714,-5.7751,-5.2661,10205000,
-3.7802,-5.7825,-5.2652,10210000,
-3.8004,-5.7742,-5.2441,10215000,
-3.7885,-5.7660,-5.2277,10220000,
-3.7592,-5.7294,-5.2304,10225000,
-3.7949,-5.7147,-5.2213,10230000,
-3.7830,-5.7303,-5.1370,10235000,
-3.6026,-5.6470,-5.2432,10245000,
-3.7711,-5.7513,-5.1233,10250000,
-3.8608,-5.6754,-5.1187,10255000,
-3.7399,-5.6607,-5.1498,10260000,
-3.6365,-5.6396,-5.1434,10265000,
-3.7646,-5.6186,-5.1599,10270000,
-3.7006,-5.5875,-5.1425,10275000,
-3.7646,-5.6396,-5.1617,10280000,
-3.9816,-5.6049,-5.2872,10285000,
-4.0201,-5.6680,-5.2002,10290000,
-4.1016,-5.7092,-5.2213,10295000,
-4.0256,-5.7999,-5.2597,10300000,
-4.3433,-5.8997,-5.2899,10305000,
-4.0677,-5.8612,-5.2798,10310000,
-4.1876,-5.8630,-5.2542,10315000,
-4.0961,-5.9509,-5.3146,10320000,
-4.0091,-5.9344,-5.2817,10325000,
-3.9349,-5.9473,-5.2707,10330000,
-3.8736,-5.9033,-5.2533,10335000,
-3.8535,-5.8099,-5.2625,10340000,
-3.8058,-5.7806,-5.2277,10345000,
-3.8196,-5.7367,-5.2213,10350000,
-4.0530,-5.7120,-5.2002,10355000,
-3.7885,-5.7889,-5.1984,10360000,
-3.8397,-5.7751,-5.2121,10365000,
-3.8855,-5.7898,-5.1974,10370000,
-3.9148,-5.7779,-5.2084,10375000,
-3.9743,-5.7999,-5.2185,10380000,
-4.0219,-5.7889,-5.2359,10385000,
-4.0366,-5.7578,-5.2267,10390000,
-4.0594,-5.7239,-5.2203,10395000,
-4.1043,-5.6900,-5.2121,10400000,
-4.4019,-5.6772,-5.2258,10405000,
-4.0741,-5.6323,-5.2231,10410000,
-4.0823,-5.6506,-5.2295,10415000,
-4.0869,-5.6049,-5.2469,10420000,
-4.0466,-5.6323,-5.2432,10425000,
-4.0585,-5.6287,-5.2560,10430000,
-4.0878,-5.5930,-5.2917,10435000,
-4.0146,-5.6049,-5.3073,10440000,
-3.9944,-5.6268,-5.3036,10445000,
-3.9743,-5.6360,-5.3018,10450000,
-4.2224,-5.6625,-5.3165,10455000,
-3.8828,-5.6744,-5.3256,10460000,
-3.9285,-5.7294,-5.3275,10465000,
-3.9148,-5.7230,-5.3110,10470000,
-3.8892,-5.7559,-5.3036,10475000,
-3.9606,-5.7339,-5.3320,10480000,
-3.8983,-5.6909,-5.3375,10485000,
-3.8516,-5.6955,-5.3394,10490000,
-3.8571,-5.6671,-5.3165,10495000,
-3.7500,-5.6406,-5.3329,10500000,
-3.9990,-5.6076,-5.3156,10505000,
-3.6429,-5.6058,-5.3018,10510000,
-3.6401,-5.5499,-5.2991,10515000,
-3.6099,-5.5453,-5.2954,10520000,
-3.5019,-5.5399,-5.2762,10525000,
-3.5037,-5.5600,-5.2707,10530000,
-3.4158,-5.5765,-5.2835,10535000,
-3.3554,-5.5481,-5.2826,10540000,
-3.3316,-5.5774,-5.2982,10545000,
-3.3298,-5.5893,-5.2963,10550000,
-3.6017,-5.6058,-5.2844,10555000,
-3.2520,-5.6094,-5.2634,10560000,
-3.2053,-5.6168,-5.2597,10565000,
-3.0963,-5.5966,-5.2734,10570000,
-2.8802,-5.5911,-5.2414,10575000,
-3.1494,-5.6021,-5.2130,10580000,
-3.0945,-5.6094,-5.2652,10585000,
-2.9086,-5.6232,-5.2405,10590000,
-2.8931,-5.6360,-5.2313,10595000,
-2.8564,-5.6323,-5.2487,10600000,
-3.3362,-5.6296,-5.2460,10605000,
-2.7905,-5.6378,-5.2917,10610000,
-2.7969,-5.6625,-5.2808,10615000,
-2.7814,-5.6808,-5.3009,10620000,
-2.7191,-5.6781,-5.2844,10625000,
-2.6953,-5.6726,-5.3357,10630000,
-2.7219,-5.6561,-5.3165,10635000,
-2.6651,-5.6882,-5.3458,10640000,
-2.6752,-5.7056,-5.3192,10645000,
-2.5644,-5.7349,-5.3412,10650000,
-2.9654,-5.7568,-5.3201,10655000,
-2.6486,-5.7202,-5.3622,10660000,
-2.5873,-5.7220,-5.3210,10665000,
-2.5827,-5.7513,-5.3073,10670000,
-2.5461,-5.7742,-5.2844,10675000,
-2.5964,-5.7935,-5.2771,10680000,
-2.5131,-5.8026,-5.2753,10685000,
-2.5232,-5.7880,-5.2625,10690000,
-2.5241,-5.7944,-5.2597,10695000,
-2.4802,-5.7990,-5.2222,10700000,
-2.8729,-5.7898,-5.2148,10705000,
-2.4564,-5.8347,-5.2121,10710000,
-2.4738,-5.8493,-5.1910,10715000,
-2.3886,-5.8768,-5.2002,10720000,
-2.3813,-5.8923,-5.1993,10725000,
-2.3804,-5.9445,-5.2130,10730000,
-2.2989,-6.0022,-5.1993,10735000,
-2.2906,-6.0205,-5.2121,10740000,
-2.1973,-6.0535,-5.2011,10745000,
-2.1991,-6.0883,-5.2203,10750000,
-2.5827,-6.0745,-5.2139,10755000,
-2.1982,-6.1404,-5.1883,10760000,
-2.2009,-6.1624,-5.1755,10765000,
-2.2211,-6.1771,-5.1617,10770000,
-2.2495,-6.1835,-5.1700,10775000,
-2.2348,-6.1752,-5.2414,10780000,
-2.2266,-6.1377,-5.2505,10785000,
-2.1991,-6.1340,-5.2652,10790000,
-2.1616,-6.1560,-5.2432,10795000,
-2.1332,-6.1633,-5.2405,10800000,
-2.4802,-6.1212,-5.2414,10805000,
-2.0471,-6.1194,-5.2432,10810000,
-1.9565,-6.0764,-5.2496,10815000,
-1.8869,-6.0553,-5.2267,10820000,
-1.8082,-6.0251,-5.2332,10825000,
-1.7926,-6.0031,-5.2203,10830000,
-1.7908,-5.9903,-5.2112,10835000,
-1.8008,-5.9921,-5.2332,10840000,
-1.8375,-5.9940,-5.2267,10845000,
-1.8814,-5.9940,-5.2057,10850000,
-2.3062,-6.0178,-5.1855,10855000,
-1.9958,-5.9637,-5.1572,10860000,
-1.9611,-5.9976,-5.1993,10865000,
-1.9958,-5.9784,-5.2066,10870000,
-1.9308,-5.9821,-5.2203,10875000,
-1.8832,-5.9784,-5.2872,10880000,
-1.8430,-5.9381,-5.3503,10885000,
-1.8182,-5.9299,-5.3174,10890000,
-1.7798,-5.9344,-5.3183,10895000,
-1.6946,-5.9198,-5.2808,10900000,
-1.9226,-5.9509,-5.2698,10905000,
-1.5472,-5.9299,-5.2570,10910000,
-1.5033,-5.9656,-5.2542,10915000,
-1.4777,-5.9418,-5.2588,10920000,
-1.4493,-5.9766,-5.2744,10925000,
-1.3303,-5.9656,-5.3110,10930000,
-1.3120,-5.9875,-5.3146,10935000,
-1.2708,-6.0159,-5.3403,10940000,
-1.1984,-6.0306,-5.3384,10945000,
-1.1234,-6.0059,-5.3467,10950000,
-1.4520,-6.0004,-5.3238,10955000,
-0.9448,-6.0022,-5.2881,10960000,
-0.9531,-5.9738,-5.2725,10965000,
-0.9558,-5.9848,-5.2396,10970000,
-0.9448,-5.9436,-5.2020,10975000,
-0.9274,-5.9546,-5.1947,10980000,
-0.9009,-5.9637,-5.1810,10985000,
-0.8505,-5.9482,-5.1489,10990000,
-0.8340,-5.9711,-5.1260,10995000,
-0.8377,-5.9509,-5.1215,11000000,
-1.2012,-5.9683,-5.1288,11005000,
-0.8194,-5.9583,-5.1050,11010000,
-0.7947,-5.9894,-5.1379,11015000,
-0.7874,-5.9839,-5.1389,11020000,
-0.8167,-6.0159,-5.1691,11025000,
-0.8139,-6.0223,-5.1599,11030000,
-0.8066,-6.0104,-5.1663,11035000,
-0.8331,-6.0397,-5.1178,11040000,
-0.8505,-6.0333,-5.0876,11045000,
-0.8578,-6.0608,-5.0052,11050000,
-1.2671,-6.0342,-5.0262,11055000,
-0.8615,-6.0507,-4.9924,11060000,
-0.8459,-6.0397,-4.9796,11065000,
-0.8707,-6.0406,-4.9686,11070000,
-0.9055,-6.0379,-4.9484,11075000,
-0.8514,-6.0150,-4.9191,11080000,
-0.8551,-6.0205,-4.9374,11085000,
-0.9119,-6.0031,-4.9347,11090000,
-0.8954,-6.0590,-4.9539,11095000,
-0.8350,-6.0709,-4.9786,11100000,
-1.2250,-6.0809,-5.0262,11105000,
-0.8139,-6.1176,-5.0381,11110000,
-0.8148,-6.1349,-5.0931,11115000,
-0.9055,-6.1441,-5.1205,11120000,
-0.8295,-6.1533,-5.1498,11125000,
-0.8734,-6.1395,-5.2158,11130000,
-0.9293,-6.1029,-5.2606,11135000,
-0.8533,-6.0452,-5.2927,11140000,
-0.8560,-6.0306,-5.2917,11145000,
-0.8981,-6.0040,-5.2899,11150000,
-1.2332,-5.9866,-5.3238,11155000,
-0.8240,-5.9610,-5.3009,11160000,
-0.9274,-5.9344,-5.2982,11165000,
-0.9412,-5.9198,-5.2908,11170000,
-0.9219,-5.9326,-5.3091,11175000,
-1.0007,-5.9271,-5.3036,11180000,
-0.9686,-5.9042,-5.3027,11185000,
-0.9430,-5.9152,-5.3220,11190000,
-0.9421,-5.8823,-5.3348,11195000,
-0.9265,-5.8475,-5.3128,11200000,
-1.3403,-5.8008,-5.3064,11205000,
-0.9531,-5.8292,-5.2890,11210000,
-0.9375,-5.8228,-5.2716,11215000,
-1.0309,-5.7980,-5.2560,11220000,
-0.9860,-5.7880,-5.2158,11225000,
-1.0455,-5.7861,-5.1764,11230000,
-1.0904,-5.7312,-5.2039,11235000,
-1.1041,-5.7541,-5.1984,11240000,
-1.2543,-5.7358,-5.2029,11245000,
-1.2140,-5.7413,-5.2295,11250000,
-1.5005,-5.7532,-5.2332,11255000,
-1.2799,-5.7202,-5.2689,11260000,
-1.3129,-5.7367,-5.2606,11265000,
-1.2698,-5.7413,-5.2597,11270000,
-1.2451,-5.7312,-5.2478,11275000,
-1.3651,-5.6808,-5.2478,11280000,
-1.3422,-5.7321,-5.2304,11285000,
-1.3687,-5.7239,-5.2084,11290000,
-1.3605,-5.7404,-5.2048,11295000,
-1.4236,-5.7056,-5.2258,11300000,
-1.7148,-5.7193,-5.1984,11305000,
-1.4639,-5.7138,-5.2094,11310000,
-1.4621,-5.7065,-5.2094,11315000,
-1.4813,-5.7129,-5.2139,11320000,
-1.5280,-5.7330,-5.1929,11325000,
-1.5536,-5.7303,-5.2176,11330000,
-1.5930,-5.7376,-5.2139,11335000,
-1.5930,-5.7275,-5.2231,11340000,
-1.6232,-5.7028,-5.2478,11345000,
-1.6306,-5.7550,-5.2277,11350000,
-1.9556,-5.7404,-5.2295,11355000,
-1.7139,-5.7541,-5.2405,11360000,
-1.7761,-5.7404,-5.2423,11365000,
-1.7569,-5.7697,-5.2432,11370000,
-1.7871,-5.7852,-5.2167,11375000,
-1.8045,-5.7761,-5.2167,11380000,
-1.8036,-5.7779,-5.2139,11385000,
-1.8365,-5.7944,-5.2213,11390000,
-1.8869,-5.7541,-5.2130,11395000,
-1.9107,-5.7999,-5.2322,11400000,
-2.3282,-5.7999,-5.2084,11405000,
-2.0004,-5.8228,-5.2386,11410000,
-1.9949,-5.8328,-5.2350,11415000,
-2.0004,-5.8438,-5.2203,11420000,
-2.0892,-5.8026,-5.2588,11425000,
-2.0737,-5.8154,-5.2304,11430000,
-2.1167,-5.8456,-5.2075,11435000,
-2.1771,-5.8429,-5.1965,11440000,
-2.1835,-5.8548,-5.1965,11445000,
-2.2504,-5.8337,-5.2048,11450000,
-2.6660,-5.8218,-5.2094,11455000,
-2.2971,-5.8319,-5.1883,11460000,
-2.3914,-5.8456,-5.1920,11465000,
-2.4710,-5.8511,-5.1645,11470000,
-2.4948,-5.8447,-5.0674,11475000,
-2.5781,-5.8521,-5.0949,11480000,
-2.6001,-5.8374,-5.0903,11485000,
-2.6788,-5.8365,-5.0711,11490000,
-2.7338,-5.8420,-5.0299,11495000,
-2.7805,-5.8438,-5.0464,11500000,
-3.3517,-5.8319,-5.0464,11505000,
-2.8857,-5.8319,-5.0519,11510000,
-3.1091,-5.8237,-5.0620,11515000,
-3.1650,-5.8328,-5.0748,11520000,
-3.2254,-5.7404,-5.2432,11525000,
-3.3124,-5.8173,-5.0601,11530000,
-3.5724,-5.8136,-5.0372,11535000,
-3.4021,-5.8521,-4.9438,11540000,
-3.5989,-5.7962,-5.0409,11545000,
-3.5477,-5.8292,-5.0418,11550000,
-3.8681,-5.8182,-5.0848,11555000,
-3.6758,-5.8209,-5.0830,11560000,
-3.8068,-5.8008,-5.0610,11565000,
-3.7646,-5.8017,-5.0702,11570000,
-3.8626,-5.7660,-5.0610,11575000,
-3.9285,-5.7687,-5.1096,11580000,
-4.0192,-5.8026,-5.0812,11585000,
-4.0384,-5.8035,-5.0858,11590000,
-4.1272,-5.7907,-5.1004,11595000,
-4.1528,-5.8200,-5.0812,11600000,
-4.4440,-5.8182,-5.1709,11605000,
-4.1885,-5.8118,-5.1443,11610000,
-4.2215,-5.8356,-5.1526,11615000,
-4.1702,-5.8347,-5.1773,11620000,
-4.1592,-5.8484,-5.2066,11625000,
-4.1006,-5.8319,-5.2139,11630000,
-4.1949,-5.8383,-5.2240,11635000,
-4.2133,-5.8374,-5.2222,11640000,
-4.1849,-5.8429,-5.2670,11645000,
-4.2389,-5.8090,-5.2798,11650000,
-4.6509,-5.7568,-5.2954,11655000,
-4.2581,-5.7578,-5.2863,11660000,
-4.2545,-5.7440,-5.3036,11665000,
-4.3414,-5.7019,-5.3265,11670000,
-4.3176,-5.7010,-5.3192,11675000,
-4.3057,-5.7083,-5.3082,11680000,
-4.3781,-5.7138,-5.3128,11685000,
-4.3716,-5.7138,-5.3064,11690000,
-4.3533,-5.7285,-5.2707,11695000,
-4.4302,-5.7120,-5.2542,11700000,
-4.7058,-5.7065,-5.1901,11705000,
-4.4238,-5.7285,-5.1105,11710000,
-4.4257,-5.7065,-4.9850,11715000,
-4.4092,-5.7285,-4.8651,11720000,
-4.4229,-5.7358,-4.7964,11725000,
-4.4348,-5.7248,-4.7452,11730000,
-4.4312,-5.7532,-4.7873,11735000,
-4.4485,-5.7257,-4.7690,11740000,
-4.5099,-5.7358,-4.8532,11745000,
-4.4888,-5.7303,-4.9173,11750000,
-4.7836,-5.7733,-4.9127,11755000,
-4.4687,-5.7532,-4.8898,11760000,
-4.4733,-5.7687,-4.8715,11765000,
-4.4971,-5.7925,-4.8276,11770000,
-4.5282,-5.7925,-4.7772,11775000,
-4.5667,-5.8127,-4.7617,11780000,
-4.5859,-5.8173,-4.7488,11785000,
-4.5731,-5.8182,-4.7955,11790000,
-4.6472,-5.8044,-4.8065,11795000,
-4.6133,-5.8063,-4.8505,11800000,
-4.9786,-5.8063,-4.8724,11805000,
-4.6152,-5.7944,-4.9594,11810000,
