CONV_VALCH1 (N),CONV_VALCH2 (N),CONV_VALCH3 (N),TIMESTAMP (us)
-3.7527,-5.7230,-5.2753,720000,
-3.7619,-5.7495,-5.2982,725000,
-3.7729,-5.7285,-5.2945,730000,
-3.7967,-5.7495,-5.2872,735000,
-3.7427,-5.7303,-5.2908,740000,
-3.7436,-5.7211,-5.2798,745000,
-3.7912,-5.7477,-5.2890,750000,
-3.9972,-5.7431,-5.2890,755000,
-3.7820,-5.7330,-5.2863,760000,
-3.7656,-5.7339,-5.3000,765000,
-3.8223,-5.7413,-5.2863,770000,
-3.7253,-5.7367,-5.2908,775000,
-3.7811,-5.7349,-5.2853,780000,
-3.8177,-5.7413,-5.2780,785000,
-3.8013,-5.7513,-5.2890,790000,
-3.7720,-5.7642,-5.2945,795000,
-3.7839,-5.7367,-5.2945,800000,
-4.0091,-5.7367,-5.3046,805000,
-3.7985,-5.7394,-5.2899,810000,
-3.7857,-5.7413,-5.2789,815000,
-3.7582,-5.7504,-5.2661,820000,
-3.7537,-5.7587,-5.2936,825000,
-3.7289,-5.7394,-5.2890,830000,
-3.7637,-5.7303,-5.2954,835000,
-3.7546,-5.7477,-5.2927,840000,
-3.8177,-5.7349,-5.2991,845000,
-3.7894,-5.7449,-5.3009,850000,
-4.0356,-5.7349,-5.2808,855000,
-3.7857,-5.7303,-5.3018,860000,
-3.8013,-5.7468,-5.2908,865000,
-3.7546,-5.7449,-5.2789,870000,
-3.7930,-5.7294,-5.3073,875000,
-3.7601,-5.7367,-5.2817,880000,
-3.7665,-5.7166,-5.2991,885000,
-3.8205,-5.7404,-5.2899,890000,
-3.8077,-5.7349,-5.2972,895000,
-3.7527,-5.7321,-5.2725,900000,
-4.0210,-5.7303,-5.2927,905000,
-3.7619,-5.7596,-5.2936,910000,
-3.7866,-5.7486,-5.2872,915000,
-3.7912,-5.7413,-5.2817,920000,
-3.7793,-5.7449,-5.3027,925000,
-3.8104,-5.7440,-5.2853,930000,
-3.7308,-5.7312,-5.2780,935000,
-3.7280,-5.7550,-5.2853,940000,
-3.8113,-5.7385,-5.2780,945000,
-3.7967,-5.7266,-5.2954,950000,
-3.9908,-5.7404,-5.2698,955000,
-3.7518,-5.7220,-5.2798,960000,
-3.7949,-5.7385,-5.2899,965000,
-3.7656,-5.7220,-5.2917,970000,
-3.7701,-5.7358,-5.2872,975000,
-3.8004,-5.7394,-5.2945,980000,
-3.7738,-5.7349,-5.2982,985000,
-3.7711,-5.7394,-5.3055,990000,
-3.7894,-5.7376,-5.2908,995000,
-3.7646,-5.7303,-5.2762,1000000,
-4.0265,-5.7230,-5.2853,1005000,
-3.7482,-5.7422,-5.2762,1010000,
-3.7418,-5.7275,-5.2936,1015000,
-3.7866,-5.7513,-5.2963,1020000,
-3.8040,-5.7349,-5.2716,1025000,
-3.7665,-5.7486,-5.2972,1030000,
-3.7427,-5.7513,-5.3000,1035000,
-3.7436,-5.7422,-5.2872,1040000,
-3.7408,-5.7440,-5.2734,1045000,
-3.8095,-5.7486,-5.2972,1050000,
-4.0311,-5.7257,-5.2872,1055000,
-3.7317,-5.7339,-5.2844,1060000,
-3.8141,-5.7312,-5.2780,1065000,
-3.7491,-5.7202,-5.2698,1070000,
-3.7491,-5.7321,-5.2881,1075000,
-3.7958,-5.7449,-5.2963,1080000,
-3.7354,-5.7532,-5.3018,1085000,
-3.7994,-5.7449,-5.2789,1090000,
-3.8077,-5.7376,-5.2817,1095000,
-3.8077,-5.7440,-5.2789,1100000,
-4.0448,-5.7257,-5.2798,1105000,
-3.7646,-5.7440,-5.2899,1110000,
-3.7445,-5.7129,-5.2780,1115000,
-3.7811,-5.7550,-5.2798,1120000,
-3.7436,-5.7458,-5.2844,1125000,
-3.8040,-5.7532,-5.2972,1130000,
-3.7637,-5.7294,-5.2927,1135000,
-3.7857,-5.7339,-5.3201,1140000,
-3.8242,-5.7404,-5.2917,1145000,
-3.7903,-5.7458,-5.2972,1150000,
-3.9670,-5.7349,-5.2817,1155000,
-3.7994,-5.7404,-5.2826,1160000,
-3.7921,-5.7559,-5.2881,1165000,
-3.7939,-5.7321,-5.2917,1170000,
-3.7683,-5.7330,-5.3082,1175000,
-3.7793,-5.7339,-5.2881,1180000,
-3.8141,-5.7504,-5.2734,1185000,
-3.7436,-5.7376,-5.2661,1190000,
-3.7866,-5.7376,-5.2881,1195000,
-3.8022,-5.7486,-5.2798,1200000,
-3.9972,-5.7239,-5.2890,1205000,
-3.7756,-5.7248,-5.2991,1210000,
-3.7894,-5.7541,-5.2881,1215000,
-3.7848,-5.7504,-5.2817,1220000,
-3.7271,-5.7330,-5.3000,1225000,
-3.7692,-5.7431,-5.2927,1230000,
-3.7701,-5.7394,-5.3000,1235000,
-3.7500,-5.7303,-5.2789,1240000,
-3.7500,-5.7358,-5.2826,1245000,
-3.7518,-5.7339,-5.2817,1250000,
-4.0466,-5.7651,-5.2872,1255000,
-3.7491,-5.7275,-5.2908,1260000,
-3.7701,-5.7559,-5.2844,1265000,
-3.7637,-5.7422,-5.2890,1270000,
-3.7518,-5.7413,-5.3000,1275000,
-3.8031,-5.7413,-5.3101,1280000,
-3.7610,-5.9619,-5.1553,1285000,
-3.9386,-5.7230,-5.2890,1290000,
-3.7509,-5.7156,-5.2780,1295000,
-3.7720,-5.7202,-5.2844,1300000,
-4.0182,-5.7285,-5.2753,1305000,
-3.8663,-5.7230,-5.2899,1310000,
-3.7875,-5.7184,-5.2872,1315000,
-3.7811,-5.7083,-5.2844,1320000,
-3.8663,-5.7239,-5.2863,1325000,
-3.7830,-5.7193,-5.2844,1330000,
-3.8297,-5.7211,-5.2835,1335000,
-3.7244,-5.7898,-5.2258,1340000,
-3.7555,-5.7605,-5.2835,1345000,
-3.7656,-5.7404,-5.2798,1350000,
-3.9780,-5.7166,-5.2936,1355000,
-3.7582,-5.7312,-5.2954,1360000,
-3.7939,-5.7275,-5.2991,1365000,
-3.7903,-5.7358,-5.2881,1370000,
-3.7894,-5.7349,-5.3027,1375000,
